A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Ciencias da Saude;Menos de 4 anos;5;5;5;5;4;2;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Apoio financeiro ;Sim;Nao;Nao;Sim;Nao;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;2;;3;3;Sim;3;1;;
Multicentrico em Quimica de Minas Gerais;Menos de 4 anos;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;Sim;4;Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;tempo;Sim;Sim;Nao;Nao;Sim, em um evento nacional;Sim, em um evento nacional;3;Avanco cientifico;3;;4;3;Nao;4;3;nao;nao
Engenharia Quimica;Menos de 4 anos;4;4;4;4;4;4;3;3;3;3;3;3;4;3;3;4;4;3;3;3;4;3;Nao;;Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;uma nova coordenacao;Nao;;;Nao;Sim, em um evento nacional;Sim, em um evento nacional;3;Avanco cientifico;2;;3;2;Nao;3;3;nao;nao
Multicentrico em Quimica de Minas Gerais;Entre 4 e 12 anos;5;5;Sem condicoes de avaliar;1;1;1;5;5;5;5;3;3;4;5;5;4;3;3;2;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Nao;Aplicacao de interesse econômico;Sim;Sim;Sim;Sim;Nao;Sim, em um evento regional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;2;2;Sim;2;0;-;-
Ciencia Florestal;Mais de 12 anos;5;4;4;4;5;3;5;5;4;5;4;4;4;4;3;3;3;5;4;4;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;3;;4;4;Nao;3;1;;
Educacao em Ciencias e Matematica;Menos de 4 anos;4;4;5;4;4;4;5;5;5;5;5;5;4;4;4;3;3;4;3;4;3;5;Sim;5;Sociedade, Outros Pesquisadores;Pretendo fazer, mas ainda nao fiz. Buscar junto as instituicoes de apoio a pesquisa federais e estaduais;Acredito que ja estamos no caminho e a tendencia que a cada ano, com o acumulo das experiencias, isto se intensifique.;Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento local;4;Nenhuma dos impactos listados;0;Nao;;;Nao;0;0;nao;nao
Fitopatologia;Mais de 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;O programa da Fitopatologia - UFV ja tem producao de conhecimento cientifico e tecnologico reconhecido nacionalmente e internacionalmente, pois e conceito 7 da Capes, tem insercao internacional e um bom nivel de producao cientifica. Um produto comercial biologico, para uma agricultura mais sustentavel, foi desenvolvido em meu laboratorio, no Departamento de Fitopatologia, o RIZOTEC, para controle de nematoides e utilizado em todo o territorio nacional com sucesso.;Sim;Sim;Sim;Sim;Sim, em um evento internacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;4;4;;
Genetica e Melhoramento;Entre 4 e 12 anos;5;5;4;5;5;3;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Fornecer mais recursos para auxiliar nos custo com traducao, edicao e publicacao de artigos em revistas de maior impacto. Essas revistas exigem escrita revisada por empresas e taxa para publicacao;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;4;;4;4;Sim;4;3;;
Ciencia da Nutricao;Mais de 12 anos;5;5;4;3;4;Sem condicoes de avaliar;5;5;4;5;3;3;5;5;5;4;4;5;4;5;2;5;Nao;;Sociedade, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Capacitacao docente e recursos financeiros;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;3;2;;
Fisica;Mais de 12 anos;4;Sem condicoes de avaliar;5;5;5;2;5;4;4;5;4;4;4;4;5;3;3;4;4;4;3;3;Sim;4;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior numero de bolsas para discentes.;Nao;;;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional;3;Licenciamento de processos ou produtos, Avanco cientifico;2;;4;3;Nao;4;5;Nao.;Nao.
