A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Ciencia da Computacao;Menos de 4 anos;5;4;5;3;Sem condicoes de avaliar;2;5;5;5;5;5;4;4;4;4;3;2;4;2;3;4;3;Nao;;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Maior apoio, incluindo financeiro para aquisicao de equipamentos.;Sim;Sim;Sim;Nao;Sim, em um evento internacional;Sim, em um evento internacional;5;Geracao direta ou indireta de emprego e renda, Avanco cientifico;4;;4;3;Nao;4;4;;
Economia Domestica;Menos de 4 anos;5;5;3;5;5;5;4;5;5;5;5;5;4;4;4;3;4;5;3;5;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Nao;;Nao;;;Nao;Nao;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;3;;4;4;Nao;5;4;;
Entomologia;Mais de 12 anos;5;5;5;4;5;3;5;5;5;5;5;5;5;5;4;3;3;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;A producao tem boa repercussao;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;3;3;;
Quimica em Rede Nacional PROFQUI;Menos de 4 anos;5;5;4;4;4;4;5;5;5;4;5;5;5;5;4;4;3;5;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Nao;O programa necessita de espaco propria para trabalho e orientacao dos alunos.;Nao;;;Sim;Sim, em um evento regional;Sim, em um evento regional;5;Melhoria na qualidade de vida da populacao local;0;Nao;;;Sim;2;2;;
Fitopatologia;Mais de 12 anos;4;4;5;4;4;3;4;2;1;3;2;2;4;4;4;5;4;3;3;2;3;3;Nao;;Sociedade, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Que os orientadores comecem a publicar as dissertacoes e teses geradas nos laboratorios.;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Nao;4;3;Internacionalizar sabendo que a maioria dos docentes nao sao fluentes em Ingles. Esse sera um grande desafio ;Apoiar mais os professores no inicio de carreira para que possam se desenvolver cientificamente de forma mais rapida
Fitopatologia;Entre 4 e 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;4;4;5;5;Sim;5;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;O programa ja e conceito 7, mas precisaria investir mais em presenca em midia social para divulgacao dos resultados no nivel internacional. A producao cientifica e internacional.;Nao;;;Nao;Nao;Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;5;3;Sim;5;5;Nao;Nao
Fisica;Menos de 4 anos;5;5;4;5;4;4;5;5;5;5;5;5;5;4;4;4;3;5;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior visibilidade das pesquisas realizadas atraves de uma Assessoria de Comunicacao Institucional dedicada exclusivamente à promocao das atividades cientificas.;Sim;Sim;Sim;Sim;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;5;5;Sim;5;5;;
Ciencia da Computacao;Mais de 12 anos;4;4;4;4;3;3;5;5;5;4;5;5;4;5;5;4;4;4;3;4;4;4;Sim;4;Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento nacional, Sim, em um evento internacional;4;Avanco cientifico;3;;3;3;Sim;3;3;;
Arquitetura e Urbanismo;Entre 4 e 12 anos;5;5;4;4;5;2;4;4;5;5;5;5;5;4;4;3;5;5;5;4;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais oportunidades de financiamento;Sim;Sim;Sim;Nao;Sim, em um evento local;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;5;3;Sim;5;5;Respondi como orientadora, mas tb sou a coordenadora;
Ciencia da Nutricao;Menos de 4 anos;5;5;5;4;4;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais recursos para pesquisas;Sim;Sim;Nao;Nao;Iniciei agora minhas orientacoes;Iniciei agora minhas orientacoes;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;4;;3;5;Nao;3;3;;
Arquitetura e Urbanismo;Entre 4 e 12 anos;4;4;4;3;3;5;5;4;5;5;5;5;5;4;4;4;5;5;4;5;4;4;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a prefeituras municipais;Maior divulgaco e mais intercâmbios;Sim;Nao;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;2;;4;4;Sim;4;3;;
Bioquimica Aplicada;Entre 4 e 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Sim;3;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior financiamento das pesquisas;Sim;Sim;Sim;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;4;Sim;5;5;;
Letras;Entre 4 e 12 anos;5;5;4;4;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;5;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;4;4;2;5;Sim;5;Outros Pesquisadores;Nao;Mais incentivo com bolsas de pesquisa;Sim;Sim;Nao;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;1;Avanco cientifico;3;;5;5;Nao;2;0;Como o programa tem foco na formacao de professores de linguas o programa e importante para a internacionalizacao;A pro-reitoria tem apoiado o nosso programa e nos auxiliado sempre que solicitamos. 
Agronomia (Producao Vegetal);Mais de 12 anos;4;4;4;5;5;4;5;5;5;5;5;5;5;4;4;3;3;4;4;4;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Recursos financeiros;Sim;Sim;Sim;Sim;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;3;4;Nao;3;0;;
Medicina Veterinaria;Entre 4 e 12 anos;5;5;5;5;4;2;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;Sim;5;Sociedade, Empresas;Sim, junto a empresas interessadas nos resultados da pesquisa;Parcialmente, nem todos os orientadores tem dedicacao adequada ao programa. ;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;5;;5;4;Sim;4;5;O Programa desde de 2013 vem apresentando problemas com a producao discente. A atual coordenacao fez calculos e descobriu que o programa tem uma baixa teses/dissertacoes defendidas e artigos publicados. ;Eu acho que essa exigencia de proeficiencia da lingua inglesa e muito pertinente. Entretanto, nao julgo o momento adequado em funcao da pandemia e dos cortes de bolsas. Ademais, somente tenho que elogiar a PPG pelo trabalho executado, parabens a toda equipe. 
Medicina Veterinaria;Entre 4 e 12 anos;5;5;3;4;4;3;5;4;4;5;4;5;5;4;4;4;4;4;4;4;4;4;Nao;;Empresas, Outros Pesquisadores, Agencias Governamentais, Implicitamente a sociedade;Sim, junto a agencias de fomento governamentais;Maior quantidade de recurso. Sem recurso nao ha pesquisa!;Sim;Sim;Nao;Nao;Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;5;Nao;4;4;O Programa esta passando por diversas dificuldades devido a crise instaurada nas ultimos anos. O Comissao tem se organizado para compreender e tentar solucionar tais desafios.;Algumas perguntas deste formulario nao auxilia em uma resposta  exata. Devem ter mais respostas que proporcionem uma resposta mais verdadeira.
Fitotecnia;Mais de 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior insercao internacional ;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento regional, Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;4;4;Nao;1;1;Nao;Nao
Quimica em Rede Nacional PROFQUI;Menos de 4 anos;5;5;4;5;5;5;5;4;4;5;5;4;5;5;5;5;4;4;3;5;5;5;Sim;5;Sociedade;Nao;;Nao;;;Sim;Sim, em um evento local;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade;1;;3;3;Nao;4;2;;
Fisiologia Vegetal;Entre 4 e 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;3;3;2;4;3;3;3;3;3;4;3;4;4;4;3;3;1;3;3;Nao;;Sociedade, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Distribuicao do recurso CAPES-PROEX de forma democratica entre os orientadores e tambem as bolsas de pos-doutorado PNPD (rodizio entre os orientadores);Nao;;;Nao;Nao;Sim, em um evento nacional;1;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;3;;3;3;Nao;4;2;Nao ;Nao
Fisica;Entre 4 e 12 anos;5;4;5;5;5;4;5;5;5;5;5;5;5;5;5;4;5;5;5;5;3;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;O programa precisa ainda investir mais em visibilidade e internacionalizacao.;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;3;Sim;5;5;;
Microbiologia Agricola;Menos de 4 anos;5;4;3;5;4;4;5;5;5;5;4;4;5;4;4;3;3;4;3;4;5;5;Sim;4;Sociedade, Empresas;Sim, junto a agencias de fomento governamentais;Precisamos urgentemente de recursos financeiros. A escassez de verbas, atrasos com pagamento de projetos e bolsas por agencias financiadoras, e a reducao SISTEMaTICA de recursos advindos de instâncias federais tem prejudicado de maneira significativa o desenvolvimento de pesquisas em nossa Instituicao.;Nao;;;Sim;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local;5;;4;5;Nao;4;3;;
Ciencias da Saude;Menos de 4 anos;4;5;4;4;Sem condicoes de avaliar;3;5;5;5;5;5;5;4;5;4;4;4;4;3;4;4;4;Sim;5;Sociedade, Outros Pesquisadores;Nao;Financiamento.;Sim;Nao;Nao;Nao;Sim, em um evento local;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;3;Nao;4;3;;
Engenharia Agricola;Mais de 12 anos;4;4;5;5;5;4;5;5;5;5;4;3;5;5;5;4;4;5;5;5;4;5;Nao;;Sociedade;Sim, junto a agencias de fomento governamentais;Atualizacao regimental, do programa e das areas de concentracao.;Nao;;;Sim;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;4;;4;4;Nao;3;1;;
Engenharia Agricola;Mais de 12 anos;4;4;5;5;5;4;5;5;5;5;4;3;5;5;5;4;4;5;5;5;4;5;Nao;;Sociedade;Sim, junto a agencias de fomento governamentais;Atualizacao regimental, do programa e das areas de concentracao.;Nao;;;Sim;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;4;;4;4;Nao;3;1;;
Bioquimica Aplicada;Menos de 4 anos;4;4;4;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;3;4;5;4;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Acredito que o nosso maior problema atualmente e a falta de recursos. Portanto, o investimento financeiro seria nossa maior necessidade, incluindo (e talvez principalmente) o numero de bolsas.;Sim;Sim;Nao;Nao;Sim, em um evento local;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos;3;;4;4;Sim;4;4;;
Educacao;Menos de 4 anos;5;5;3;5;5;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;3;3;4;5;4;4;3;4;Sim;5;Sociedade;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Investimento, que tem sido cada vez mais suprimido;Nao;;;Sim;Sim, em um evento local;Sim, em um evento nacional;3;Geracao direta ou indireta de emprego e renda, Avanco cientifico;1;;2;2;Nao;2;0;;
Quimica em Rede Nacional PROFQUI;Menos de 4 anos;5;5;4;3;3;3;5;5;5;4;5;5;5;5;5;4;3;5;4;4;4;3;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Mais recursos para professores recem contratados;Nao;;;Nao;Nao;Sim, em um evento regional;3;Avanco cientifico;4;;3;4;Sim;2;2;;
Microbiologia Agricola;Menos de 4 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;Nao;;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior investimento financeiro em bolsas e projetos;Sim;Sim;Nao;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;4;Sim;5;5;;
Biologia Animal;Mais de 12 anos;5;5;4;5;4;3;4;5;4;4;3;3;5;4;4;4;4;4;5;3;3;5;Nao;;Empresas, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Incentivo financeiro e metas claras ;Nao;;;Nao;Sim, em um evento local;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;1;;5;2;Sim;5;5;;
Agroquimica;Entre 4 e 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior disponibilidade de equipamentos multiusuarios administrados por profissionais que estejam alinhados ao desenvolvimento do trabalho em equipe. ;Nao;;;Sim;Os projetos nao foram apresentados por dificuldade de saber como apresenta-los, ou seja, quem e como devemos procurar.;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;5;3;Sim;3;3;;
Engenharia Quimica;Entre 4 e 12 anos;4;4;4;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;Sim;4;Sociedade, Empresas, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Receber mais recurso financeiro para pesquisas, e infraestrutura de mais equipamentos para pesquisa;Nao;;;Sim;Sim, em um evento local;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;1;;3;3;Sim;3;1;;
Educacao em Ciencias e Matematica;Menos de 4 anos;5;5;4;5;4;4;5;5;5;Sem condicoes de avaliar;5;5;5;5;5;5;Sem condicoes de avaliar;5;5;5;5;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Ainda nao. O curso esta em seu segundo ano.;Bolsa para todos os discentes e licenca remunerada aos discentes que sao professores nas escolas da Educacao Basica.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;0;Sim;4;4;Nao;2;0;O curso foi criado ha um ano. A segunda turma acabou de iniciar. E ainda nao formamos a 1a turma. ;Que a PPG tenha um olhar especial para o Programa de Pos-graduacao em Educacao em Ciencias e Matematica. e o 1o programa da UFV intercampi e multidepartamental. A maior parte dos discentes sao professoras/professores da Educacao Basica com uma alta carga horaria semanal de aulas. Precisamos urgentemente de uma pessoa na secretaria do curso, de bolsas para os discentes e de auxilio numa parceria com a Secretaria Estadual de Educacao (bolsas e licenca remunerada do trabalho no estado).
Agroecologia;Entre 4 e 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Insercao internacional ;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Nao;1;1;Nao ;Nao
Geografia;Menos de 4 anos;4;5;3;4;3;2;4;4;5;5;4;4;4;4;4;5;5;3;4;3;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Financiamento e aquisicao de material de laboratorio ;Nao;;;Sim;Sim, em um evento local, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;1;;2;2;Nao;1;0;O programa e  recente ;Ser  mais atuante,  junto a programas iniciais e nivel 3.
Zootecnia;Entre 4 e 12 anos;5;5;4;5;5;5;5;5;5;5;4;3;5;4;4;4;4;4;4;5;5;4;Nao;;Sociedade;Sim, junto a empresas interessadas nos resultados da pesquisa;;Nao;;;Sim;Sim, em um evento internacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade;5;;5;5;Nao;4;4;;
Fitotecnia;Menos de 4 anos;4;4;3;3;3;1;5;5;5;5;5;5;4;3;3;3;3;4;3;4;5;4;Sim;4;Sociedade, Outros Pesquisadores, Agricultores(as) ;Sim, junto a agencias de fomento governamentais;;Sim;Sim;Nao;Sim;Atuo no Ppg a pouco tempo. Pretendo apresentar. ;Sim, em um evento local, Sim, em um evento regional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;1;2;Nao;1;0;;
Ciencia da Nutricao;Entre 4 e 12 anos;5;5;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Nao;;;Sim;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;4;Sim;5;5;;
Bioquimica Aplicada;Mais de 12 anos;4;4;4;4;3;3;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Maior investimento financeiro em pesquisa;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;2;3;Nao;2;0;;Incentivo a intercâmbio com pesquisadores estrangeiros
Defesa Sanitaria Vegetal;Entre 4 e 12 anos;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;3;5;5;4;Sim;5;Sociedade, Empresas, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;;Sim;Nao;Nao;Sim;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento regional, Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Avanco cientifico;3;;4;4;Nao;5;4;e um mestrado Profissional;
Agroquimica;Entre 4 e 12 anos;5;5;3;4;3;5;4;4;4;4;4;3;5;4;4;4;4;3;3;3;4;5;Nao;;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Uma compreensao maior pelos colegas docentes dos objetivos da pos graduacao, das pesquisas cientificas e tecnologicas e da importância de uma formacao adequada e elevada dos  pos graduandos nas suas  graduacoes.;Nao;;;Nao;;Sim, em um evento nacional, Sim, em um evento internacional, Varios!!!;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Licenciamento de processos ou produtos, Avanco cientifico;3;;4;3;Nao;3;4;Fui descredenciado  (e nao tenho recredenciamento no proximo ano) do programa.  Estou indo fazer pos doutorado ( prof visitante em UK). Estou com um deficit de tempo para colocar as publicacoes em dia, em particular em relacao a avancos cientificos diretos de minha pesquisa.;
Fitotecnia;Mais de 12 anos;5;5;5;4;5;4;5;5;5;5;5;5;5;5;4;4;4;5;5;5;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior apoio tecnologico e importacao de insumos sem taxas. Alem de apoio irrestrito a publicacao. ;Sim;Sim;Nao;Sim;Sim, em um evento local, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;4;;3;5;Sim;3;3;;
Ciencia Florestal;Mais de 12 anos;5;5;5;5;5;Sem condicoes de avaliar;5;5;5;5;4;4;5;5;5;4;4;2;4;4;4;4;Sim;4;Empresas;Nao;maior insercao internacional dos docentes ;Sim;Sim;Nao;Nao;Nao;Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;2;;3;3;Nao;4;2;nao;nao
